date,retailer,igraal_slug,alerabat_rate,alerabat_rate_type,alerabat_url
2026-07-12,AliExpress,aliexpress,5.0,up_to_%,https://alerabat.com/kod-rabatowy/aliexpress
2026-07-12,Allegro,allegro,2.2,up_to_%,https://alerabat.com/kody-promocyjne/allegro
2026-07-12,Answear,answear,1.75,up_to_%,https://alerabat.com/kod-promocyjny/answear-com
2026-07-12,Decathlon,decathlon,4.0,up_to_%,https://alerabat.com/kod-promocyjny/decathlon-pl
2026-07-12,Empik,empik,6.25,up_to_%,https://alerabat.com/kod-promocyjny/empik-com
2026-07-12,Lounge by Zalando,zalando-lounge,6.0,up_to_%,https://alerabat.com/kody-promocyjne/lounge-by-zalando
2026-07-12,MediaMarkt,mediamarkt,3.0,up_to_%,https://alerabat.com/kod-promocyjny/mediamarkt
2026-07-12,Temu,temu,17.5,up_to_%,https://alerabat.com/kody-promocyjne/temu
2026-07-12,SHEIN,shein,7.5,up_to_%,https://alerabat.com/kody-promocyjne/shein
2026-07-12,RTV Euro AGD,rtveuro,3.0,up_to_%,https://alerabat.com/kod-promocyjny/rtv-euro-agd
2026-07-12,Lidl,lidl,,no cashback,https://alerabat.com/kody-promocyjne/lidl
2026-07-12,Leroy Merlin,leroymerlin,1.75,up_to_%,https://alerabat.com/kod-promocyjny/leroy-merlin
2026-07-12,CCC,ccc,3.25,up_to_%,https://alerabat.com/kody-promocyjne/ccc
2026-07-12,Hebe,hebe,2.5,up_to_%,https://alerabat.com/kody-promocyjne/hebe
2026-07-12,OBI,obi,2.5,up_to_%,https://alerabat.com/kody-promocyjne/obi
2026-07-12,Adidas,adidas,3.0,up_to_%,https://alerabat.com/kod-promocyjny/adidas-pl
2026-07-12,Sephora,sephora,3.0,up_to_%,https://alerabat.com/kod-promocyjny/sephora
2026-07-12,Douglas,douglas,4.0,up_to_%,https://alerabat.com/kod-promocyjny/douglas-pl
2026-07-12,home&you,home-you,,not_found,
2026-07-12,Abra,abra,,not_found,
2026-07-12,Acer,acer,2.5,up_to_%,https://alerabat.com/kody-promocyjne/acer
2026-07-12,Aelia,aelia,3.25,up_to_%,https://alerabat.com/kody-promocyjne/aelia
2026-07-12,Agoda,agoda,3.0,up_to_%,https://alerabat.com/kody-promocyjne/agoda-com
2026-07-12,Airalo,airalo,5.76,up_to_%,https://alerabat.com/kody-promocyjne/airalo
2026-07-12,AirHelp,airhelp,12.5,up_to_%,https://alerabat.com/kody-promocyjne/air-help
2026-07-12,ALAB Laboratoria,alab-laboratoria,3.12,up_to_%,https://alerabat.com/kody-promocyjne/alab
2026-07-12,Alibaba,alibaba.com,3.08,up_to_%,https://alerabat.com/kody-promocyjne/alibaba-com
2026-07-12,Amazon,amazon,5.0,up_to_%,https://alerabat.com/kody-promocyjne/amazon-de
2026-07-12,Audioteka,audioteka,3.5,up_to_%,https://alerabat.com/kody-promocyjne/audioteka-pl
2026-07-12,AUTODOC,autodoc,4.0,up_to_%,https://alerabat.com/kody-promocyjne/autodoc
2026-07-12,AXA Partners,axa-partners,10.0,up_to_%,https://alerabat.com/kody-promocyjne/axa-partners
2026-07-12,Banggood,banggood,6.5,up_to_%,https://alerabat.com/kod-promocyjny/banggood-com
2026-07-12,Bank Pekao,bank-pekao,,not_found,
2026-07-12,Baseus,baseus,2.0,up_to_%,https://alerabat.com/kody-promocyjne/baseus
2026-07-12,BasicLab,basiclab,2.0,up_to_%,https://alerabat.com/kody-promocyjne/basiclab
2026-07-12,BeDiet,bediet,5.0,up_to_%,https://alerabat.com/kody-promocyjne/bediet
2026-07-12,BIG STAR,bigstar,3.0,up_to_%,https://alerabat.com/kod-promocyjny/bigstar
2026-07-12,Bimba Y Lola,bimbaylola,4.0,up_to_%,https://alerabat.com/kody-promocyjne/bimba-y-lola
2026-07-12,Bonprix,bonprix,2.5,up_to_%,https://alerabat.com/kod-promocyjny/bonprix
2026-07-12,Born2Be,born2be,3.0,up_to_%,https://alerabat.com/kody-promocyjne/born2be-pl
2026-07-12,Brainmarket,brainmarket,1.25,up_to_%,https://alerabat.com/kody-promocyjne/brainmarket
2026-07-12,Brasty,brasty,1.0,up_to_%,https://alerabat.com/kody-promocyjne/brasty-pl
2026-07-12,Bricoman,bricoman,,no cashback,https://alerabat.com/kody-promocyjne/bricoman-pl
2026-07-12,Bricomarche,bricomarche,3.2,up_to_%,https://alerabat.com/kody-promocyjne/bricomarche
2026-07-12,Brooks,brooks,5.0,up_to_%,https://alerabat.com/kody-promocyjne/brooks
2026-07-12,Byrokko,byrokko,4.5,up_to_%,https://alerabat.com/kody-promocyjne/byrokko
2026-07-12,Canal Plus,canalplus,,not_found,
2026-07-12,Carrefour,carrefour,1.5,up_to_%,https://alerabat.com/kody-promocyjne/carrefour
2026-07-12,Castorama,castorama,2.0,up_to_%,https://alerabat.com/kody-promocyjne/castorama
2026-07-12,Ceneo,ceneo,1.32,up_to_%,https://alerabat.com/kody-promocyjne/ceneo
2026-07-12,Cobi,cobi,1.75,up_to_%,https://alerabat.com/kody-promocyjne/cobi
2026-07-12,Cocolita,cocolita,,no cashback,https://alerabat.com/kody-promocyjne/cocolita-pl
2026-07-12,Colorland,colorland,1.75,up_to_%,https://alerabat.com/kody-promocyjne/colorland
2026-07-12,Converse,converse,4.8,up_to_%,https://alerabat.com/kody-promocyjne/converse-pl
2026-07-12,Crocs,crocs,2.0,up_to_%,https://alerabat.com/kod-promocyjny/crocs-pl
2026-07-12,Cropp,cropp,3.5,up_to_%,https://alerabat.com/kod-promocyjny/cropp
2026-07-12,Cyfrowe.pl,cyfrowe.pl,1.05,up_to_%,https://alerabat.com/kod-promocyjny/cyfrowe-pl
2026-07-12,Dedoles,dedoles,,no cashback,https://alerabat.com/kody-promocyjne/dedoles
2026-07-12,DeLonghi,delonghi,3.0,up_to_%,https://alerabat.com/kody-promocyjne/delonghi
2026-07-12,Dermacol,dermacol,2.0,up_to_%,https://alerabat.com/kody-promocyjne/dermacol
2026-07-12,Desigual,desigual,4.36,up_to_%,https://alerabat.com/kod-promocyjny/desigual
2026-07-12,DHgate,dhgate,1.5,up_to_%,https://alerabat.com/kody-promocyjne/dhgate
2026-07-12,DHL,dhl,5.0,up_to_%,https://alerabat.com/kody-promocyjne/dhl
2026-07-12,Diablo Chairs,diablochairs,3.75,up_to_%,https://alerabat.com/kody-promocyjne/diablo-chairs
2026-07-12,Disney+,disneyplus,,no cashback,https://alerabat.com/kody-promocyjne/disney
2026-07-12,Drogeria.pl,drogeria.pl,,not_found,
2026-07-12,Drop,drop,,not_found,
2026-07-12,Dstreet,dstreet,4.5,up_to_%,https://alerabat.com/kody-promocyjne/dstreet-pl
2026-07-12,Dyson,dyson,2.4,up_to_%,https://alerabat.com/kody-promocyjne/dyson
2026-07-12,E-Kwiaty,e-kwiaty,3.1,up_to_%,https://alerabat.com/kody-promocyjne/e-kwiaty
2026-07-12,e-torty,e-torty,7.5,up_to_%,https://alerabat.com/kody-promocyjne/e-torty-pl
2026-07-12,eBilet,ebilet,0.4,up_to_%,https://alerabat.com/kody-promocyjne/ebilet
2026-07-12,Ecco,ecco,1.0,up_to_%,https://alerabat.com/kody-promocyjne/ecco
2026-07-12,Electrolux,electrolux,2.0,up_to_%,https://alerabat.com/kody-promocyjne/electrolux
2026-07-12,Eltrox,eltrox,3.0,up_to_%,https://alerabat.com/kod-promocyjny/eltrox-pl
2026-07-12,EMP,emp,,not_found,
2026-07-12,Empik Foto,empikfoto,5.0,up_to_%,https://alerabat.com/kod-promocyjny/empikfoto-pl
2026-07-12,Endo,endo,4.5,up_to_%,https://alerabat.com/kod-rabatowy/endo
2026-07-12,eobuwie,eobuwie,3.5,up_to_%,https://alerabat.com/kod-promocyjny/eobuwie
2026-07-12,Erli,erli,2.5,up_to_%,https://alerabat.com/kody-promocyjne/erli
2026-07-12,ESET,eset,5.5,up_to_%,https://alerabat.com/kody-promocyjne/eset
2026-07-12,eSky,esky,1.75,up_to_%,https://alerabat.com/kody-promocyjne/esky-pl
2026-07-12,Estro,estro,3.5,up_to_%,https://alerabat.com/kody-promocyjne/estro
2026-07-12,Eurofirany,eurofirany,2.85,up_to_%,https://alerabat.com/kody-promocyjne/eurofirany-com-pl
2026-07-12,Euroflorist,euroflorist,6.0,up_to_%,https://alerabat.com/kod-promocyjny/euroflorist
2026-07-12,Eveline,eveline,,not_found,
2026-07-12,Eventim,eventim,1.0,up_to_%,https://alerabat.com/kody-promocyjne/eventim
2026-07-12,eZebra,ezebra,4.0,up_to_%,https://alerabat.com/kod-promocyjny/ezebra
2026-07-12,Fera,fera,2.0,up_to_%,https://alerabat.com/kod-promocyjny/fera-pl
2026-07-12,Fielmann,fielmann,4.0,up_to_%,https://alerabat.com/kody-promocyjne/fielmann
