date,retailer,slug,igraal_rate,cashback_type
2026-04-27,AliExpress,aliexpress,40.0,%
2026-04-27,Allegro,allegro,1.9,%
2026-04-27,Answear,answear,15.0,%
2026-04-27,Decathlon,decathlon,2.0,%
2026-04-27,Empik,empik,1.6,%
2026-04-27,Lounge by Zalando,zalando-lounge,10.0,%
2026-04-27,MediaMarkt,mediamarkt,15.0,%
2026-04-27,Temu,temu,,no cashback
2026-04-27,SHEIN,shein,40.0,%
2026-04-27,RTV Euro AGD,rtveuro,1.5,%
2026-04-27,Lidl,lidl,1.0,%
2026-04-27,Leroy Merlin,leroymerlin,4.0,%
2026-04-27,CCC,ccc,5.0,%
2026-04-27,Hebe,hebe,4.0,%
2026-04-27,OBI,obi,5.0,%
2026-04-27,Adidas,adidas,5.0,%
2026-04-27,Sephora,sephora,7.5,%
2026-04-27,Douglas,douglas,8.0,%
2026-04-27,home&you,home-you,6.5,%
2026-04-27,Abra,abra,4.2,%
2026-04-27,Acer,acer,5.0,%
2026-04-27,Aelia,aelia,8.0,%
2026-04-27,Airalo,airalo,9.0,%
2026-04-27,AirHelp,airhelp,20.0,%
2026-04-27,ALAB Laboratoria,alab-laboratoria,6.0,%
2026-04-27,Alibaba,alibaba.com,8.4,%
2026-04-27,AUTODOC,autodoc,8.0,%
2026-04-27,AXA Partners,axa-partners,15.0,%
2026-04-27,Banggood,banggood,10.0,%
2026-04-27,Baseus,baseus,4.0,%
2026-04-27,BasicLab,basiclab,3.0,%
2026-04-27,BeDiet,bediet,14.0,%
2026-04-27,Bee.pl,bee.pl,,no cashback
2026-04-27,Bezpieczna Rodzina,bezpiecznarodzina,5.0,%
2026-04-27,Bibliotheque De Parfum,bibliotheque-de-parfum,12.0,%
2026-04-27,BIG STAR,bigstar,9.0,%
2026-04-27,Bimba Y Lola,bimbaylola,6.0,%
2026-04-27,Bonprix,bonprix,4.0,%
2026-04-27,Born2Be,born2be,5.0,%
2026-04-27,Brasty,brasty,2.0,%
2026-04-27,Bricoman,bricoman,6.0,%
2026-04-27,Bricomarche,bricomarche,8.0,%
2026-04-27,Broń.pl,bron.pl,,zł
2026-04-27,Byrokko,byrokko,14.0,%
2026-04-27,Canal Plus,canalplus,,zł
2026-04-27,Carrefour,carrefour,3.0,%
2026-04-27,Castorama,castorama,4.0,%
2026-04-27,Ceneo,ceneo,1.0,%
2026-04-27,Cobi,cobi,3.5,%
2026-04-27,Cocolita,cocolita,3.5,%
2026-04-27,Colorland,colorland,8.0,%
2026-04-27,Converse,converse,5.0,%
2026-04-27,Crocs,crocs,4.0,%
2026-04-27,Cropp,cropp,4.0,%
2026-04-27,Cyfrowe.pl,cyfrowe.pl,2.0,%
2026-04-27,Dedoles,dedoles,8.0,%
2026-04-27,DeLonghi,delonghi,6.0,%
2026-04-27,Dermacol,dermacol,7.0,%
2026-04-27,Desigual,desigual,7.7,%
2026-04-27,DHgate,dhgate,2.0,%
2026-04-27,DHL,dhl,,zł
2026-04-27,Diablo Chairs,diablochairs,4.5,%
2026-04-27,Drogeria.pl,drogeria.pl,4.5,%
