date,retailer,igraal_slug,letyshops_rate,letyshops_rate_type,letyshops_boosted,letyshops_url
2026-07-12,AliExpress,aliexpress,5.0,%,False,https://letyshops.com/pl/shops/aliexpress
2026-07-12,Allegro,allegro,1.7,%,False,https://letyshops.com/pl/shops/allegro-pl
2026-07-12,Answear,answear,2.0,%,False,https://letyshops.com/pl-en/shops/answear
2026-07-12,Decathlon,decathlon,2.25,%,False,https://letyshops.com/pl/shops/decathlon-pl
2026-07-12,Empik,empik,6.25,%,False,https://letyshops.com/pl/shops/empik-pl
2026-07-12,Lounge by Zalando,zalando-lounge,6.0,%,False,https://letyshops.com/pl-en/shops/zalando-lounge-pl
2026-07-12,MediaMarkt,mediamarkt,3.5,%,False,https://letyshops.com/pl/shops/media-markt-pl
2026-07-12,Temu,temu,7.85,%,False,https://letyshops.com/pl/shops/temu
2026-07-12,SHEIN,shein,5.0,%,False,https://letyshops.com/pl-en/shops/shein-pl
2026-07-12,RTV Euro AGD,rtveuro,3.5,%,False,https://letyshops.com/pl/shops/rtv-euro-agd
2026-07-12,Lidl,lidl,0.5,%,False,https://letyshops.com/pl-en/shops/lidl-pl
2026-07-12,Leroy Merlin,leroymerlin,1.75,%,False,https://letyshops.com/pl/shops/leroy-merlin
2026-07-12,CCC,ccc,3.25,%,False,https://letyshops.com/pl-en/shops/ccc-pl
2026-07-12,Hebe,hebe,4.0,%,False,https://letyshops.com/pl-en/shops/hebe
2026-07-12,OBI,obi,2.5,%,False,https://letyshops.com/pl/shops/obi-pl
2026-07-12,Adidas,adidas,3.0,%,False,https://letyshops.com/pl/shops/adidas-polska
2026-07-12,Sephora,sephora,5.5,%,False,https://letyshops.com/pl-en/shops/sephora-pl
2026-07-12,Douglas,douglas,4.0,%,False,https://letyshops.com/pl/shops/douglas
2026-07-12,home&you,home-you,2.0,%,False,https://letyshops.com/pl/shops/home-you
2026-07-12,Abra,abra,,not_found,False,
2026-07-12,Acer,acer,4.5,%,False,https://letyshops.com/pl/shops/acer-pl
2026-07-12,Aelia,aelia,3.25,%,False,https://letyshops.com/pl/shops/aelia
2026-07-12,Agoda,agoda,,no cashback,False,
2026-07-12,Airalo,airalo,,not_found,False,
2026-07-12,AirHelp,airhelp,7.5,%,False,https://letyshops.com/pl/shops/airhelp
2026-07-12,ALAB Laboratoria,alab-laboratoria,4.6,%,False,https://letyshops.com/pl/shops/alab-laboratoria-pl
2026-07-12,Alibaba,alibaba.com,,no cashback,False,
2026-07-12,Amazon,amazon,5.0,%,False,https://letyshops.com/pl/shops/amazon-pl
2026-07-12,Audioteka,audioteka,,not_found,False,
2026-07-12,AUTODOC,autodoc,4.0,%,False,https://letyshops.com/pl/shops/autodoc-pl
2026-07-12,AXA Partners,axa-partners,,not_found,False,
2026-07-12,Banggood,banggood,6.5,%,False,https://letyshops.com/pl/shops/banggood
2026-07-12,Bank Pekao,bank-pekao,,not_found,False,
2026-07-12,Baseus,baseus,2.0,%,False,https://letyshops.com/pl/shops/baseus-pl
2026-07-12,BasicLab,basiclab,,no cashback,False,
2026-07-12,BeDiet,bediet,,no cashback,False,
2026-07-12,BIG STAR,bigstar,1.75,%,False,https://letyshops.com/pl/shops/big-star-pl
2026-07-12,Bimba Y Lola,bimbaylola,,not_found,False,
2026-07-12,Bonprix,bonprix,6.0,%,False,https://letyshops.com/pl/shops/bonprix-pl
2026-07-12,Born2Be,born2be,3.0,%,False,https://letyshops.com/pl/shops/born2be-pl
2026-07-12,Brainmarket,brainmarket,,not_found,False,
2026-07-12,Brasty,brasty,0.5,%,False,https://letyshops.com/pl/shops/brasty-pl
2026-07-12,Bricoman,bricoman,,no cashback,False,
2026-07-12,Bricomarche,bricomarche,2.4,%,False,https://letyshops.com/pl/shops/bricomarche-pl
2026-07-12,Brooks,brooks,,not_found,False,
2026-07-12,Byrokko,byrokko,,not_found,False,
2026-07-12,Canal Plus,canalplus,,no cashback,False,
2026-07-12,Carrefour,carrefour,1.5,%,False,https://letyshops.com/pl/shops/carrefour-pl
2026-07-12,Castorama,castorama,2.0,%,False,https://letyshops.com/pl/shops/castorama-pl
2026-07-12,Ceneo,ceneo,,not_found,False,
2026-07-12,Cobi,cobi,1.75,%,False,https://letyshops.com/pl/shops/cobi-pl
2026-07-12,Cocolita,cocolita,2.25,%,False,https://letyshops.com/pl/shops/cocolita-pl
2026-07-12,Colorland,colorland,,no cashback,False,
2026-07-12,Converse,converse,4.8,%,False,https://letyshops.com/pl/shops/converse-pl
2026-07-12,Crocs,crocs,,no cashback,False,
2026-07-12,Cropp,cropp,3.5,%,False,https://letyshops.com/pl/shops/cropp-pl
2026-07-12,Cyfrowe.pl,cyfrowe.pl,,not_found,False,
2026-07-12,Dedoles,dedoles,,not_found,False,
2026-07-12,DeLonghi,delonghi,3.0,%,False,https://letyshops.com/pl/shops/delonghi-pl
2026-07-12,Dermacol,dermacol,,not_found,False,
2026-07-12,Desigual,desigual,3.8,%,False,https://letyshops.com/pl/shops/desigual-pl
2026-07-12,DHgate,dhgate,25.0,%,False,https://letyshops.com/pl/shops/dhgate
2026-07-12,DHL,dhl,3.5,%,False,https://letyshops.com/pl/shops/dhl-pl
2026-07-12,Diablo Chairs,diablochairs,2.25,%,False,https://letyshops.com/pl/shops/diablo-chairs
2026-07-12,Disney+,disneyplus,1.7,%,False,https://letyshops.com/pl/shops/disney
2026-07-12,Drogeria.pl,drogeria.pl,2.25,%,False,https://letyshops.com/pl/shops/drogeria-pl
2026-07-12,Drop,drop,1.0,%,False,https://letyshops.com/pl/shops/drop
2026-07-12,Dstreet,dstreet,4.5,%,False,https://letyshops.com/pl/shops/dstreet
2026-07-12,Dyson,dyson,2.4,%,False,https://letyshops.com/pl-en/shops/dyson-pl
2026-07-12,E-Kwiaty,e-kwiaty,3.0,%,False,https://letyshops.com/pl/shops/e-kwiaty-pl
2026-07-12,e-torty,e-torty,7.5,%,False,https://letyshops.com/pl/shops/e-torty-pl
2026-07-12,eBilet,ebilet,0.4,%,False,https://letyshops.com/pl/shops/ebilet-pl
2026-07-12,Ecco,ecco,,no cashback,False,
2026-07-12,Electrolux,electrolux,2.0,%,False,https://letyshops.com/pl/shops/electrolux-pl
2026-07-12,Eltrox,eltrox,2.75,%,False,https://letyshops.com/pl/shops/eltrox-pl
2026-07-12,EMP,emp,3.5,%,False,https://letyshops.com/pl/shops/emp-pl
2026-07-12,Empik Foto,empikfoto,5.0,%,False,https://letyshops.com/pl/shops/empikfoto-pl
2026-07-12,Endo,endo,,no cashback,False,
2026-07-12,eobuwie,eobuwie,3.5,%,False,https://letyshops.com/pl/shops/eobuwie-pl
2026-07-12,Erli,erli,2.2,%,False,https://letyshops.com/pl-en/shops/erli
2026-07-12,ESET,eset,6.0,%,False,https://letyshops.com/pl/shops/eset-pl
2026-07-12,eSky,esky,1.75,%,False,https://letyshops.com/pl/shops/esky
2026-07-12,Estro,estro,5.0,%,False,https://letyshops.com/pl/shops/estro-pl
2026-07-12,Eurofirany,eurofirany,3.5,%,False,https://letyshops.com/pl/shops/eurofirany
2026-07-12,Euroflorist,euroflorist,7.5,%,False,https://letyshops.com/pl/shops/euroflorist-pl
2026-07-12,Eveline,eveline,3.5,%,False,https://letyshops.com/pl/shops/eveline-pl
2026-07-12,Eventim,eventim,1.0,%,False,https://letyshops.com/pl/shops/eventim-pl
2026-07-12,eZebra,ezebra,4.75,%,False,https://letyshops.com/pl/shops/ezebra
2026-07-12,Fera,fera,2.0,%,False,https://letyshops.com/pl/shops/fera-pl
2026-07-12,Fielmann,fielmann,,not_found,False,
2026-07-12,Flexispot,flexispot,,not_found,False,
2026-07-12,Flixbus,flixbus,,no cashback,False,
2026-07-12,Footdistrict,footdistrict,,not_found,False,
2026-07-12,Footshop,footshop,2.5,%,False,https://letyshops.com/pl/shops/footshop-pl
2026-07-12,Foreo,foreo,3.75,%,False,https://letyshops.com/pl/shops/foreo
2026-07-12,FotoForma,fotoforma,,not_found,False,
2026-07-12,G2A,g2a,1.15,%,False,https://letyshops.com/pl/shops/g2a
2026-07-12,Gabriella,gabriella,,no cashback,False,
2026-07-12,Gameseal,gameseal,1.5,%,False,https://letyshops.com/pl/shops/gameseal
2026-07-12,Gamivo,gamivo,2.5,%,False,https://letyshops.com/pl/shops/gamivo
2026-07-12,Geekbuying.pl,geekbuying,4.0,%,False,https://letyshops.com/pl/shops/geekbuying-pl
2026-07-12,GetYourGuide,getyourguide,1.15,%,False,https://letyshops.com/pl/shops/getyourguide-pl
2026-07-12,Giacomo Conti,giacomo,2.5,%,False,https://letyshops.com/pl/shops/giacomo-conti
2026-07-12,GOG,gog,3.0,%,False,https://letyshops.com/pl/shops/gog
2026-07-12,Gomez,gomez,3.3,%,False,https://letyshops.com/pl/shops/gomez-pl
2026-07-12,Greenpoint,greenpoint,2.0,%,False,https://letyshops.com/pl/shops/greenpoint-pl
2026-07-12,Groupon,groupon,3.5,%,False,https://letyshops.com/pl/shops/groupon-pl
2026-07-12,H&M,hm,1.5,%,False,https://letyshops.com/pl-en/shops/h-m-pl
2026-07-12,Homla,homla,,no cashback,False,
2026-07-12,HP,hp,3.5,%,False,https://letyshops.com/pl/shops/hp-pl
2026-07-12,Huawei,huawei,3.2,%,False,https://letyshops.com/pl/shops/huawei-pl
2026-07-12,iBOOD,ibood,,not_found,False,
2026-07-12,iDream,idream,,not_found,False,
2026-07-12,iHerb,iherb,2.0,%,False,https://letyshops.com/pl/shops/iherb
2026-07-12,IKEA,ikea,,no cashback,False,
2026-07-12,Intymna,intymna,,not_found,False,
2026-07-12,iParts,iparts,,no cashback,False,
2026-07-12,JD Sports,jdsports,2.5,%,False,https://letyshops.com/pl/shops/jd-sports-pl
2026-07-12,Joom,joom,,no cashback,False,
2026-07-12,Josera,josera,3.75,%,False,https://letyshops.com/pl/shops/josera-pl
2026-07-12,Justjoinit,justjoinit,,not_found,False,
2026-07-12,Katalog Marzeń,katalog-marzen,1.35,%,False,https://letyshops.com/pl/shops/katalog-marzen-pl
2026-07-12,Kenwood,kenwood,3.0,%,False,https://letyshops.com/pl/shops/kenwood-pl
2026-07-12,KFC,kfc,2.75,%,False,https://letyshops.com/pl/shops/kfc-polska
2026-07-12,Kinguin,kinguin,,not_found,False,
2026-07-12,Kiwi,kiwi,2.0,%,False,https://letyshops.com/pl/shops/kiwi
2026-07-12,Komputronik,komputronik,1.0,%,False,https://letyshops.com/pl-en/shops/komputronik-pl
2026-07-12,Konesso,konesso,,no cashback,False,
2026-07-12,Krakvet,krakvet,3.0,%,False,https://letyshops.com/pl/shops/krakvet
2026-07-12,Kubota,kubota,,not_found,False,
2026-07-12,KurJerzy.pl,kurjerzy.pl,2.8,%,False,https://letyshops.com/pl/shops/kurjerzy-pl
2026-07-12,Lacoste,lacoste,5.0,%,False,https://letyshops.com/pl/shops/lacoste-pl
2026-07-12,Lampy.pl,lampy,4.0,%,False,https://letyshops.com/pl/shops/lampy-pl
2026-07-12,Legimi,legimi,7.5,%,False,https://letyshops.com/pl/shops/legimi-pl
2026-07-12,LEGO,lego,,no cashback,False,
2026-07-12,Leo Express,leoexpress,,not_found,False,
2026-07-12,Levi's,levis,,no cashback,False,
2026-07-12,LG,lg,1.0,%,False,https://letyshops.com/pl/shops/lg-pl
2026-07-12,Loaded,cdkeys,2.5,%,False,https://letyshops.com/pl/shops/cdkeys
2026-07-12,Lokalny Rolnik,lokalnyrolnik,4.4,%,False,https://letyshops.com/pl/shops/lokalny-rolnik-pl
2026-07-12,Lookfantastic,lookfantastic,5.0,%,False,https://letyshops.com/pl/shops/lookfantastic-pl
2026-07-12,LOT,lot,,not_found,False,
2026-07-12,Lufthansa,lufthansa,0.75,%,False,https://letyshops.com/pl/shops/lufthansa-pl
2026-07-12,Mamyito,mamyito,2.8,%,False,https://letyshops.com/pl/shops/mamyito-pl
2026-07-12,Mango Outlet,mango-outlet,,not_found,False,
2026-07-12,Marilyn,marilyn,,not_found,False,
2026-07-12,Max Elektro,maxelektro,2.5,%,False,https://letyshops.com/pl/shops/maxelektro
2026-07-12,Maxi Zoo,maxizoo,3.0,%,False,https://letyshops.com/pl/shops/maxi-zoo-pl
2026-07-12,MebleMWM,meblemwm,3.2,%,False,https://letyshops.com/pl/shops/meblemwm-pl
2026-07-12,Medicine,wearmedicine,3.0,%,False,https://letyshops.com/pl/shops/medicine-pl
2026-07-12,Merkury Market,merkurymarket,,no cashback,False,
2026-07-12,Michael Kors,michaelkors,,no cashback,False,
2026-07-12,Modivo,modivo.pl,3.5,%,False,https://letyshops.com/pl/shops/modivo-pl
2026-07-12,ModnaKiecka.pl,modnakiecka.pl,,not_found,False,
2026-07-12,Morele.net,morele,0.5,%,False,https://letyshops.com/pl/shops/morele-net
2026-07-12,Mountain Warehouse,mountainwarehouse,3.0,%,False,https://letyshops.com/pl/shops/mountain-warehouse-pl
2026-07-12,MyHeritage DNA,myheritagedna,,not_found,False,
2026-07-12,MyProtein,myprotein,3.0,%,False,https://letyshops.com/pl/shops/myprotein-pl
2026-07-12,NAOKO,naoko,2.8,%,False,https://letyshops.com/pl/shops/naoko-pl
2026-07-12,Neness,neness,,no cashback,False,
2026-07-12,NEONAIL,neonail,3.5,%,False,https://letyshops.com/pl/shops/neonail
2026-07-12,New Balance,nbsklep,3.5,%,False,https://letyshops.com/pl/shops/new-balance-pl
2026-07-12,Nike,nike,,no cashback,False,
2026-07-12,Ninja,ninja,5.0,%,False,https://letyshops.com/pl/shops/ninja-pl
2026-07-12,NordVPN,nordvpn,20.0,%,False,https://letyshops.com/pl/shops/nord-vpn
2026-07-12,norton,norton,,no cashback,False,
2026-07-12,Notino,notino,2.5,%,False,https://letyshops.com/pl-en/shops/notino-pl
2026-07-12,Novakid,novakid,,no cashback,False,
2026-07-12,OleOle!,oleole,1.0,%,False,https://letyshops.com/pl/shops/oleole-pl
2026-07-12,Olimp Store,olimp-store,,not_found,False,
2026-07-12,Ombre,ombre,2.5,%,False,https://letyshops.com/pl/shops/ombre
2026-07-12,Orange,orange,3.5,%,False,https://letyshops.com/pl/shops/orange-pl
2026-07-12,Pan Materac,panmaterac,4.0,%,False,https://letyshops.com/pl/shops/pan-materac
2026-07-12,Pandora,pandora,3.0,%,False,https://letyshops.com/pl/shops/pandora-pl
2026-07-12,Parfumdreams,parfumdreams,,no cashback,False,
2026-07-12,Peek & Cloppenburg,peek-and-cloppenburg,1.5,%,False,https://letyshops.com/pl/shops/peek-cloppenburg-pl
2026-07-12,Perfumeria,perfumeria.pl,2.5,%,False,https://letyshops.com/pl/shops/perfumeria-pl
2026-07-12,Perfumy.pl,perfumy,3.25,%,False,https://letyshops.com/pl/shops/perfumy
2026-07-12,Petkarma,petkarma,,not_found,False,
2026-07-12,Philips,philips,,no cashback,False,
2026-07-12,Philips Hue,philips-hue,3.5,%,False,https://letyshops.com/pl/shops/philips-hue-pl
2026-07-12,Pitbull,pitbull,3.5,%,False,https://letyshops.com/pl/shops/pitbull-pl
2026-07-12,Play,play,3.5,%,False,https://letyshops.com/pl/shops/play-pl
2026-07-12,Pleso,plesotherapy,,not_found,False,
2026-07-12,Plus,plus,,no cashback,False,
2026-07-12,Preply,preply,5.0,%,False,https://letyshops.com/pl/shops/preply
2026-07-12,Primodo,primodo,,not_found,False,
2026-07-12,PRM,prm,6.0,%,False,https://letyshops.com/pl/shops/prm-pl
2026-07-12,Proton VPN,protonvpn,,not_found,False,
2026-07-12,Przyjaciele Kawy,przyjacielekawy,3.7,%,False,https://letyshops.com/pl/shops/przyjaciele-kawy-pl
2026-07-12,Puma,puma,,no cashback,False,
2026-07-12,Pyszne.pl,pyszne,1.5,%,False,https://letyshops.com/pl/shops/pyszne-pl
2026-07-12,Radisson Hotels,radissonhotels,4.0,%,False,https://letyshops.com/pl/shops/radisson-hotels-pl
2026-07-12,Recman,recman,,no cashback,False,
2026-07-12,RedBull Mobile,redbullmobile,1.7,%,False,https://letyshops.com/pl/shops/red-bull-mobile-pl
2026-07-12,Regatta,regatta,4.5,%,False,https://letyshops.com/pl/shops/regatta-pl
2026-07-12,Remix,remix,,no cashback,False,
2026-07-12,Renee,renee,3.0,%,False,https://letyshops.com/pl-en/shops/renee
2026-07-12,Reporter Young,reporteryoung,,no cashback,False,
2026-07-12,Rocketjobs.pl,rocketjobs,,not_found,False,
2026-07-12,Ryobi,ryobi,6.0,%,False,https://letyshops.com/pl/shops/ryobi-pl
2026-07-12,Samsung,samsung,2.5,%,False,https://letyshops.com/pl/shops/samsung-pl
2026-07-12,SeePlaces,seeplaces,2.25,%,False,https://letyshops.com/pl/shops/seeplaces-pl
2026-07-12,Sferis,sferis,7.5,%,False,https://letyshops.com/pl/shops/sferis-pl
2026-07-12,Sinsay,sinsay,5.0,%,False,https://letyshops.com/pl-en/shops/sinsay-pl
2026-07-12,Skechers,skechers,,not_found,False,
2026-07-12,SkyShowtime,skyshowtime,1.7,%,False,https://letyshops.com/pl/shops/skyshowtime-pl
2026-07-12,Sony.pl,sony,1.5,%,False,https://letyshops.com/pl/shops/sony-pl
2026-07-12,SportStyleStory,sportstylestory,5.0,%,False,https://letyshops.com/pl/shops/sportstylestory-pl
2026-07-12,Stradivarius,stradivarius,3.0,%,False,https://letyshops.com/pl/shops/stradivarius-pl
2026-07-12,Streetstyle24,streetstyle24,3.45,%,False,https://letyshops.com/pl/shops/streetstyle24-pl
2026-07-12,Stylevana,stylevana,5.0,%,False,https://letyshops.com/pl/shops/stylevana
2026-07-12,Sun & Snow,sun-and-snow,2.25,%,False,https://letyshops.com/pl/shops/sun-snow-pl
2026-07-12,Surfshark,surfshark,3.5,%,False,https://letyshops.com/pl/shops/surfshark
2026-07-12,Świat supli,swiatsupli,,not_found,False,
2026-07-12,Tagomago,tagomago,2.5,%,False,https://letyshops.com/pl/shops/tagomago-pl
2026-07-12,Tefal,tefal,3.0,%,False,https://letyshops.com/pl/shops/tefal-pl
2026-07-12,Tescoma,tescoma,,not_found,False,
2026-07-12,TestDNA,testdna,,not_found,False,
2026-07-12,Teufel,teufel,2.0,%,False,https://letyshops.com/pl/shops/teufel-pl
2026-07-12,Top Secret,topsecret,,no cashback,False,
2026-07-12,Trip.com,trip-com,3.5,%,False,https://letyshops.com/pl/shops/trip-com
2026-07-12,Triverna,triverna,2.4,%,False,https://letyshops.com/pl/shops/triverna-pl
