retailer,month,revenue,gmv,margin,cpa_in,transactions,cb_total
4Home,202512,125.93,2098.69,-0.63,6.0,3,126.56
Abra,202601,93.69,2230.76,-0.05,4.2,1,93.74
Abra,202602,150.32,3579.0,2.5,4.2,1,147.82
Abra,202603,187.2,4457.25,23.1,4.2,3,164.1
Abra,202604,505.38,12032.81,-2.97,4.2,2,508.35
Acer,202601,4.91,57.75,2.02,8.5,1,2.89
Aelia,202604,5.83,89.66,1.32,6.5,1,4.51
AirHelp,202602,19.33,96.66,-9.67,20.0,1,29.0
ALAB Laboratoria,202602,2.99,47.98,0.16,6.2,1,2.83
ALAB Laboratoria,202604,11.62,186.22,0.38,6.2,3,11.24
AliExpress,202505,0.75,13.86,0.43,5.4,2,0.32
AliExpress,202506,2.14,40.27,1.38,5.3,8,0.76
AliExpress,202507,5.86,109.84,-1.72,5.3,16,7.58
AliExpress,202508,20.84,410.1,-6.98,5.1,35,27.82
AliExpress,202509,16.57,355.15,-0.79,4.7,37,17.36
AliExpress,202510,36.05,644.37,24.18,5.6,90,11.87
AliExpress,202511,683.45,12822.76,430.2,5.3,1466,253.25
AliExpress,202512,1189.52,20927.07,1106.23,5.7,1876,83.29
AliExpress,202601,445.79,8261.52,420.52,5.4,696,25.27
AliExpress,202602,1194.58,21703.81,1172.04,5.5,2005,22.54
AliExpress,202603,1306.06,27451.86,-255.2,4.8,2328,1561.26
AliExpress,202604,937.22,20649.01,388.57,4.5,1847,548.65
AliExpress,202605,368.89,9050.26,26.05,4.1,802,342.84
Alibaba,202604,11.23,141.82,-1.26,7.9,4,12.49
Allegro,202505,0.64,31.19,0.03,2.1,2,0.61
Allegro,202506,5.16,293.28,1.2,1.8,17,3.95
Allegro,202507,19.5,1187.3,-86.28,1.6,26,105.78
Allegro,202508,37.08,2331.57,-40.12,1.6,79,77.2
Allegro,202509,60.53,3341.3,-85.55,1.8,163,146.08
Allegro,202510,195.71,11173.87,-594.34,1.8,649,790.05
Allegro,202511,442.42,26093.63,-1628.9,1.7,1363,2071.32
Allegro,202512,809.23,48147.93,-1856.58,1.7,2739,2665.81
Allegro,202601,778.84,45479.08,-1891.59,1.7,2976,2670.43
Allegro,202602,832.02,47858.25,-739.17,1.7,2931,1571.19
Allegro,202603,1568.1,91432.63,-2104.95,1.7,4022,3673.04
Allegro,202604,1286.68,82808.63,-3045.81,1.6,4193,4332.49
Allegro,202605,352.29,31866.5,-81.2,1.1,879,433.5
Answear,202510,2.16,61.67,-4.01,3.5,1,6.17
Answear,202511,0.38,10.94,0.05,3.5,1,0.33
Answear,202512,1.52,43.5,-4.51,3.5,1,6.03
Answear,202601,65.2,1862.78,17.67,3.5,1,47.52
Answear,202602,916.1,25651.78,394.2,3.6,11,521.89
Answear,202603,71.09,1993.6,-4.63,3.6,8,75.72
Answear,202604,42.01,1298.4,-24.52,3.2,6,66.53
Answear,202605,2.28,81.44,-0.16,2.8,1,2.44
AUTODOC,202603,6.48,81.02,0.06,8.0,1,6.42
Brasty,202510,0.2,19.53,0.0,1.0,1,0.19
Brasty,202601,78.04,3968.66,0.0,2.0,1,78.04
Brasty,202603,253.07,12910.34,2.0,2.0,7,251.08
Brasty,202604,0.42,42.18,0.0,1.0,1,0.0
Banggood,202510,0.76,12.58,0.25,6.0,1,0.5
Baseus,202603,14.92,372.85,2.51,4.0,2,12.4
BasicLab,202601,59.54,1984.65,0.0,3.0,2,59.54
BasicLab,202602,1.04,34.56,0.0,3.0,1,1.04
BasicLab,202603,131.98,4399.26,0.0,3.0,3,131.98
BasicLab,202604,171.22,5707.1,0.0,3.0,3,171.22
Bonprix,202603,0.75,18.86,-0.37,4.0,1,1.12
Born2Be,202511,0.8,13.41,-0.01,6.0,1,0.81
Born2Be,202512,3.28,54.69,-0.01,6.0,1,3.29
Born2Be,202602,62.29,1038.22,4.07,6.0,3,58.22
Born2Be,202603,9.56,142.02,-0.72,6.7,4,10.28
Born2Be,202604,98.54,1642.25,15.94,6.0,3,82.6
Bricomarche,202512,5.8,90.73,1.56,6.4,3,4.24
Bricomarche,202601,8.75,136.77,-2.2,6.4,2,10.95
Bricomarche,202602,91.09,1897.66,15.34,4.8,1,75.75
Bricomarche,202603,47.91,748.67,0.56,6.4,3,47.35
Bricomarche,202604,12.94,202.38,3.78,6.4,4,9.16
Bricomarche,202605,0.61,9.61,0.22,6.3,1,0.38
Broń.pl,202601,271.03,3387.87,-0.71,8.0,5,271.74
Broń.pl,202602,633.49,7918.61,1.52,8.0,9,631.96
Broń.pl,202603,178.03,2225.32,0.0,8.0,2,178.03
Byrokko,202603,37.9,222.97,31.22,17.0,1,6.69
CCC,202510,10.08,155.09,0.07,6.5,3,10.01
CCC,202511,18.39,333.03,0.0,5.5,4,18.39
CCC,202512,12.44,191.37,4.64,6.5,2,7.8
CCC,202601,3.02,47.36,-1.63,6.4,5,4.64
CCC,202602,12.24,188.24,7.16,6.5,4,5.08
CCC,202603,12.34,218.78,2.58,5.6,5,9.77
CCC,202604,46.14,709.8,10.65,6.5,10,35.49
CDKeys,202602,0.17,3.51,0.0,4.8,1,0.17
CDKeys,202603,1.07,53.52,0.0,2.0,1,0.0
CDKeys,202604,1.25,62.97,0.59,2.0,2,0.66
Carrefour,202508,1.43,47.24,0.01,3.0,1,1.42
Carrefour,202511,0.67,22.06,0.01,3.0,1,0.66
Carrefour,202512,5.8,191.31,0.06,3.0,3,5.74
Carrefour,202602,2.66,87.82,0.03,3.0,1,2.63
Carrefour,202603,3.38,111.48,0.04,3.0,2,3.34
Castorama,202511,0.46,11.49,0.0,4.0,1,0.46
Castorama,202512,0.41,10.4,0.0,4.0,2,0.41
Castorama,202601,92.09,2302.24,-0.0,4.0,1,92.09
Castorama,202602,38.06,951.56,-0.0,4.0,2,38.06
Castorama,202603,240.41,6010.41,2.31,4.0,5,238.1
Castorama,202604,63.13,1578.4,52.2,4.0,8,10.93
Castorama,202605,17.28,432.2,-0.0,4.0,2,17.29
Ceneo,202512,0.42,0.42,0.42,100.0,6,0.0
Ceneo,202601,0.83,0.83,0.83,100.0,17,0.0
Ceneo,202602,4.22,287.82,1.38,1.5,6,2.84
Ceneo,202603,53.43,2545.5,28.32,2.1,4,25.11
Ceneo,202604,0.68,64.48,0.03,1.1,1,0.65
Cocolita,202512,2.04,33.92,-0.85,6.0,2,2.89
Cocolita,202601,232.52,4426.29,136.45,5.3,3,96.07
Cocolita,202603,8.34,119.11,-4.17,7.0,3,12.51
Cocolita,202604,0.39,8.63,0.09,4.5,1,0.3
Colorland,202512,4.92,42.82,0.0,11.5,1,0.0
Colorland,202601,2.44,33.3,-4.22,7.3,2,6.66
Colorland,202602,1.1,9.54,-0.81,11.5,1,1.91
Crocs,202603,34.64,865.98,0.0,4.0,2,34.64
Cropp,202601,8.05,125.0,0.55,6.4,7,7.5
Cropp,202602,10.07,156.38,0.69,6.4,3,9.38
Cropp,202603,3.28,50.99,0.0,6.4,1,0.0
Cropp,202604,7.53,116.91,6.5,6.4,2,1.03
Cyfrowe.pl,202601,226.9,10804.78,10.8,2.1,3,216.1
Cyfrowe.pl,202602,18.75,2678.44,-34.82,0.7,1,53.57
Cyfrowe.pl,202603,3.54,168.41,0.31,2.1,4,3.23
Cyfrowe.pl,202604,3.42,162.63,1.2,2.1,3,2.22
DHL,202604,1.4,20.67,0.7,6.8,2,0.7
Dstreet,202511,79.57,884.13,0.0,9.0,1,79.57
