retailer,affiliate_network,quality,category,category_group,is_merchant_active,is_merchant_monetized,avg_cpa_in,avg_margin_eur,avg_revenue_eur,avg_gmv_eur,avg_cb_total_eur,total_transactions,months_with_data,margin_alert
4Home,No Affiliate Network,D,Multi-Departments,Multi-Category,True,,6.0,-0.63,125.93,2098.69,126.56,3,1,True
Abra,Tradedoubler,C,Home & Garden,Multi-Category,True,True,4.2,5.64,234.15,5574.96,228.5,7,4,False
Acer,AWIN,C,Electronics,Technology,True,True,8.5,2.02,4.91,57.75,2.89,1,1,False
Aelia,Tradedoubler,E,Health & Beauty,Multi-Category,True,,6.5,2.16,5.83,89.66,3.67,1,1,False
AirHelp,Commission Junction,E,not_attributed,not_attributed,True,True,20.0,-9.67,19.33,96.66,29.0,1,1,True
ALAB Laboratoria,Tradedoubler,A,Health & Beauty,Multi-Category,True,,6.45,0.89,11.36,171.52,10.47,12,4,False
AliExpress,AWIN,AAA,Multi-Departments,Multi-Category,True,,5.19,43.27,548.33,10759.38,505.06,13588,14,False
Alibaba,Admitad,E,not_attributed,not_attributed,True,True,7.9,-1.26,11.23,141.82,12.49,4,1,True
Allegro,Admitad,AA,Multi-Departments,Multi-Category,True,,1.72,-1185.86,614.65,36816.79,1800.51,26614,14,True
Answear,AWIN,AA+,Fashion,Fashion,True,True,3.59,42.9,128.93,3610.63,86.04,39,9,False
AUTODOC,Tradedoubler,B,Automotive,Lifestyle,True,,8.0,-0.37,6.48,81.02,6.85,1,1,True
Brasty,Commission Junction,B,Health & Beauty,Multi-Category,True,,1.2,0.4,66.35,3392.21,65.86,11,5,False
Banggood,Tradetracker,C,Electronics,Technology,True,,6.0,0.25,0.76,12.58,0.5,1,1,False
Baseus,Admitad,E,Electronics,Technology,True,,4.0,2.51,14.92,372.85,12.4,2,1,False
BasicLab,AWIN,B,Health & Beauty,Multi-Category,True,,3.0,0.11,73.08,2436.07,72.98,11,5,False
Bibliotheque De Parfum,No Affiliate Network,E,not_attributed,not_attributed,True,False,12.0,0.0,7.18,59.93,0.0,1,1,False
Bonprix,Tradedoubler,C,Fashion,Fashion,True,True,4.0,-0.18,1.19,29.99,1.38,2,2,True
Born2Be,Tradedoubler,A,Fashion,Fashion,True,True,6.12,3.04,29.43,487.55,26.38,14,6,False
Bricomarche,Tradedoubler,B,Food & Drink,Lifestyle,True,True,6.13,2.94,29.36,537.82,26.42,17,6,False
